325,325,325,326,371,371,324,325,325,325,325,325,325,325,325,325,325,325,325,325
325,325,325,326,369,371,324,325,325,325,325,325,325,325,325,325,325,325,325,325
325,325,325,326,371,371,324,325,325,325,325,325,325,325,325,325,325,325,325,325
346,346,346,347,371,371,345,346,346,346,346,346,346,346,346,346,346,346,346,346
371,371,371,371,371,371,369,371,371,371,371,371,371,371,371,371,371,371,371,371
371,369,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
304,304,304,305,370,371,303,304,304,304,304,304,304,304,304,304,304,304,304,304
325,325,325,326,370,371,324,325,325,325,325,325,325,325,325,325,325,325,325,325
325,325,325,326,370,369,324,325,325,325,325,325,325,325,325,325,325,325,325,325
325,325,325,326,371,371,324,325,325,325,325,325,325,325,325,325,325,325,325,325
325,325,325,326,370,371,324,325,325,325,325,325,325,325,325,325,325,325,325,325
325,325,325,326,371,371,324,325,325,325,325,325,325,325,325,325,325,325,325,325
325,325,325,326,371,370,324,325,325,325,325,325,325,325,325,325,325,325,325,325
325,325,325,326,371,371,324,325,325,325,325,325,325,325,325,325,325,325,325,325
325,325,325,326,371,371,324,325,325,325,325,325,325,325,325,325,325,325,325,325
325,325,325,326,371,369,324,325,325,325,325,325,325,325,325,325,325,325,325,325
325,325,325,326,370,371,324,325,325,325,325,325,325,325,325,325,325,325,325,325
325,325,325,326,371,371,324,325,325,325,325,325,325,325,325,325,325,325,325,325
325,325,325,326,369,371,324,325,325,325,325,325,325,325,325,325,325,325,325,325
325,325,325,326,371,370,324,325,325,325,325,325,325,325,325,325,325,325,325,325
